849 2259 301 76945.284 75115.102 157773923 615
569 1833 301 76519.284 75395.102 196940336 5
2170 1574 267 76260.284 73794.102 164340710 525
1238 1025 288 75711.284 74726.102 202492779 1155
1678 2644 291 77330.284 74286.102 204003094 2160
2250 2740 285 77426.284 73714.102 288169037 2455
1437 1819 289 76505.284 74527.102 163871449 205
1055 2186 296 76872.284 74909.102 164194710 70
969 1809 299 76495.284 74995.102 95511907 50
254 400 328 75086.284 75710.102 9426506 30
423 1194 313 75880.284 75541.102 163743582 45
2071 1757 265 76443.284 73893.102 164340879 397
1088 1516 297 76202.284 74876.102 163871456 1710
670 2331 306 77017.284 75294.102 169622780 1959
1395 421 283 75107.284 74569.102 163742464 1585
1244 1492 293 76178.284 74720.102 163755977 2357
729 1832 304 76518.284 75235.102 164194757 1780
1527 2796 289 77482.284 74437.102 167863632 4150
2002 1482 270 76168.284 73962.102 171231044 830
1770 352 271 75038.284 74194.102 210631040 75
1302 2566 292 77252.284 74662.102 582873794 165
669 651 302 75337.284 75295.102 163742368 80
1677 2147 279 76833.284 74287.102 164701295 5315
646 205 309 74891.284 75318.102 164804377 95
602 1810 301 76496.284 75362.102 929361887 1787
645 2118 306 76804.284 75319.102 58605853 725
1667 1427 276 76113.284 74297.102 163755712 120
2030 828 269 75514.284 73934.102 9380650 4695
1406 1773 289 76459.284 74558.102 163755872 2325
1235 2432 295 77118.284 74729.102 9278119 375
2214 2486 279 77172.284 73750.102 203080269 88
1351 818 284 75504.284 74613.102 197599554 1143
2027 2336 280 77022.284 73937.102 612347908 125
1198 1053 289 75739.284 74766.102 163742073 3122
902 1383 307 76069.284 75062.102 123159636 115
1808 2045 275 76731.284 74156.102 164340815 2360
1436 258 283 74944.284 74528.102 163742243 280
341 832 324 75518.284 75623.102 164597223 2489
873 935 306 75621.284 75091.102 163650151 5765
567 1284 297 75970.284 75397.102 250793486 5515
1784 2337 281 77023.284 74180.102 789362272 7774
1847 2774 289 77460.284 74117.102 167863619 2173
578 2322 308 77008.284 75386.102 53785176 4618
1765 1621 276 76307.284 74199.102 163755828 6029
1737 866 294 75552.284 74227.102 37826860 7159
766 562 304 75248.284 75198.102 195220863 7884
2149 2107 273 76793.284 73815.102 164340828 6329
1228 274 292 74960.284 74736.102 163742213 7589
1936 1849 274 76535.284 74028.102 164340685 652
1151 2407 284 77093.284 74813.102 821629946 265
1113 1812 295 76498.284 74851.102 217641240 4295
1116 894 294 75580.284 74848.102 202492787 170
378 127 321 74813.284 75586.102 50193116 5905
1790 169 270 74855.284 74174.102 137714735 225
1613 1737 283 76423.284 74351.102 737108708 6550
1079 939 296 75625.284 74885.102 163742484 5600
2085 2553 285 77239.284 73879.102 54435172 360
1073 239 301 74925.284 74891.102 163742446 12170
1490 752 280 75438.284 74474.102 123652856 200
1510 2149 284 76835.284 74454.102 943999356 217
1454 1675 288 76361.284 74510.102 163755917 5710
1534 936 294 75622.284 74430.102 144316818 8844
1480 1183 282 75869.284 74484.102 144316800 221
485 1564 301 76250.284 75479.102 161912558 289
688 968 300 75654.284 75276.102 163650232 9450
1470 2433 292 77119.284 74494.102 12537923 6749
957 1866 299 76552.284 75007.102 95511907 51
1987 1588 270 76274.284 73977.102 171531084 535
