292373.78 5499311.19
291958.58 5499607.07
291639.43 5498016.76
291125.85 5498968.89
292727.33 5498468.17
292801.73 5497892.89
291911.89 5498740.10
292293.06 5499108.06
291919.52 5499208.21
290538.28 5499975.87
291325.45 5499777.05
291826.05 5498108.81
291622.21 5499100.31
292452.48 5499487.37
290516.29 5498834.73
291592.35 5498945.31
291951.55 5499447.20
292884.93 5498613.36
291553.81 5498188.13
290433.20 5498462.55
292663.54 5498846.89
290773.50 5499551.65
292230.66 5498487.89
290328.62 5499591.44
291934.35 5499574.95
292240.55 5499520.38
291511.46 5498525.00
290899.13 5498184.77
291867.09 5498772.82
292532.14 5498918.90
292549.24 5497938.44
290914.71 5498863.76
292406.37 5498130.98
291155.34 5499007.82
291496.30 5499291.21
292123.79 5498360.81
290351.84 5498799.90
290966.75 5499872.64
291049.65 5499337.07
291409.97 5499629.75
292416.52 5498373.80
292850.89 5498294.38
292446.95 5499579.65
291701.65 5498419.75
290948.15 5498476.17
290680.90 5499458.06
292172.91 5498017.67
290375.66 5499007.17
291923.08 5498240.27
292510.32 5499003.79
291917.10 5499064.18
290999.52 5499095.76
290260.76 5499862.22
290249.55 5498449.45
291823.31 5498567.29
291045.89 5499131.04
292621.06 5498064.84
290346.52 5499163.40
290843.52 5498727.32
292238.95 5498654.72
291767.33 5498728.54
291025.75 5498676.42
291274.64 5498721.08
291692.90 5499701.15
291089.60 5499520.72
292524.29 5498684.00
291976.94 5499218.05
291660.31 5498199.12
292579.67 5497949.30
291054.94 5498069.81
291670.91 5499356.69
291006.45 5499226.61
291470.23 5499104.04
291554.92 5498642.46
292334.04 5498362.89
291099.75 5499710.50
292521.98 5499233.54
292982.09 5498429.55
290379.55 5499747.65
290659.13 5499119.59
291363.19 5499238.18
290617.86 5499299.30
292594.69 5498560.24
291052.07 5498843.57
292501.67 5498907.03
292302.34 5498796.45
292459.88 5498276.08
290751.44 5498753.81
291567.55 5498552.91
290246.67 5498346.47
292496.70 5499173.44
292740.37 5498548.75
291936.15 5498135.69
291583.97 5498457.22
290163.13 5498466.72
291229.01 5499130.14
292501.68 5497951.24
291814.17 5498908.92
291649.70 5499298.44
290947.04 5498659.37
291812.03 5497949.20
292749.59 5498713.54
290698.70 5499399.34
292469.45 5499167.46
292083.75 5498732.63
290516.65 5498658.57
291812.03 5498294.49
291246.43 5499618.90
291471.43 5498737.69
292112.68 5498358.22
291798.07 5498056.82
291723.61 5499453.79
290829.60 5499128.18
291138.40 5499195.61
291722.22 5498567.10
291153.76 5498806.71
291076.12 5499402.13
290911.83 5498521.58
290437.14 5499231.05
290407.13 5499470.38
290968.66 5498887.74
292736.66 5498184.59
291489.70 5499222.40
291057.66 5499469.88
292268.58 5499308.15
291760.94 5499143.12
290349.17 5498516.76
290619.74 5499163.11
291843.07 5499808.59
291893.73 5499506.43
292714.66 5498105.35
292221.44 5498189.99
292962.22 5498274.17
292275.66 5499496.04
290357.52 5499906.61
292248.77 5497985.79
291068.03 5499771.74
291414.48 5499563.52
292499.32 5499004.20
290435.35 5498917.85
292521.82 5498299.77
292305.99 5498442.02
290356.00 5500025.77
291431.80 5498642.10
292574.80 5498085.60
291182.32 5499856.51
292452.89 5498807.79
291907.91 5498421.99
290929.60 5498249.68
292301.01 5498176.98
290424.92 5498986.30
291915.27 5498351.65
290183.37 5498339.85
291630.68 5498687.65
292505.32 5499003.98
292500.32 5499004.17
290524.22 5499416.92
290326.86 5498641.70
290710.69 5498655.26
291007.04 5499666.95
291915.84 5498951.13
290763.42 5498965.54
291338.55 5499035.94
290932.03 5499137.33
292387.56 5498694.15
292230.67 5497877.38
292732.03 5497955.57
291399.84 5499466.99
292213.51 5498643.67
292619.82 5498961.63
290641.94 5498929.08
292697.18 5498438.28
292300.47 5499277.92
292132.28 5498267.41
290308.56 5500094.62
292316.34 5497893.17
292552.26 5498948.16
291332.14 5499821.84
290824.56 5499233.46
